[WARN] 2023-02-15 18:40:51.771379+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.env
[WARN] 2023-02-15 18:40:51.771379+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git
[WARN] 2023-02-15 18:40:51.771379+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\COMMIT_EDITMSG
[WARN] 2023-02-15 18:40:51.772577+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\config
[WARN] 2023-02-15 18:40:51.772577+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\description
[WARN] 2023-02-15 18:40:51.773081+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\FETCH_HEAD
[WARN] 2023-02-15 18:40:51.773081+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\HEAD
[WARN] 2023-02-15 18:40:51.773081+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks
[WARN] 2023-02-15 18:40:51.773081+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\applypatch-msg.sample
[WARN] 2023-02-15 18:40:51.774130+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\commit-msg.sample
[WARN] 2023-02-15 18:40:51.774130+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\fsmonitor-watchman.sample
[WARN] 2023-02-15 18:40:51.774130+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\post-update.sample
[WARN] 2023-02-15 18:40:51.774130+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\pre-applypatch.sample
[WARN] 2023-02-15 18:40:51.775213+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\pre-commit.sample
[WARN] 2023-02-15 18:40:51.775213+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\pre-merge-commit.sample
[WARN] 2023-02-15 18:40:51.775717+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\pre-push.sample
[WARN] 2023-02-15 18:40:51.775717+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\pre-rebase.sample
[WARN] 2023-02-15 18:40:51.775717+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\pre-receive.sample
[WARN] 2023-02-15 18:40:51.776718+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\prepare-commit-msg.sample
[WARN] 2023-02-15 18:40:51.776718+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\push-to-checkout.sample
[WARN] 2023-02-15 18:40:51.776718+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\hooks\update.sample
[WARN] 2023-02-15 18:40:51.776718+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\index
